source	target	cor	P/N
B_Gemella	B_Chryseobacterium	0.340318850760146	P
B_Sphingopyxis	B_Chryseobacterium	0.34221582173025	P
F_Kriegeria	B_Chryseobacterium	0.369579404321377	P
B_Streptococcus	B_Micrococcus	0.335713356137722	P
B_Staphylococcus	B_Micrococcus	0.405310277568508	P
B_Paracoccus	B_Micrococcus	0.453900350401617	P
B_Dermacoccus	B_Micrococcus	0.40183723620017	P
B_Lawsonella	B_Micrococcus	0.348569616059885	P
B_Janibacter	B_Micrococcus	0.382040651172281	P
B_Dietzia	B_Micrococcus	0.346707633181681	P
B_Rothia	B_Micrococcus	0.369751362000521	P
B_Fusobacterium	B_Micrococcus	0.407327761584833	P
B_Anaerococcus	B_Micrococcus	0.341850446910885	P
B_Gordonia	B_Micrococcus	0.38847349110169	P
B_Auricoccus	B_Micrococcus	0.332872720669815	P
B_Phenylobacterium	B_Micrococcus	0.330142477972205	P
F_Kriegeria	B_Micrococcus	0.388147549157272	P
B_Staphylococcus	B_Streptococcus	0.368271259839401	P
B_Brevundimonas	B_Streptococcus	0.323084295789126	P
B_Lawsonella	B_Streptococcus	0.326593953576039	P
B_Haemophilus	B_Streptococcus	0.447677938350373	P
B_Anaerococcus	B_Streptococcus	0.414357839371428	P
B_Luteimonas	B_Streptococcus	0.321326408640763	P
F_Kriegeria	B_Streptococcus	0.363124451522563	P
B_Paracoccus	B_Staphylococcus	0.369873984058681	P
B_Haemophilus	B_Staphylococcus	0.372515441560099	P
B_Massilia	B_Staphylococcus	0.332802582282368	P
B_Roseomonas	B_Staphylococcus	0.342385451702278	P
B_Anaerococcus	B_Staphylococcus	0.32450519218696	P
B_Prevotella	B_Staphylococcus	0.320893655486449	P
F_Diploospora	B_Staphylococcus	0.322077470061893	P
F_Kriegeria	B_Staphylococcus	0.334094759895766	P
B_Salmonella	B_Yersinia	0.327938278315099	P
B_Glutamicibacter	B_Yersinia	0.366380898032147	P
B_Runella	B_Yersinia	0.411199351922607	P
B_Cohnella	B_Yersinia	0.326783418884429	P
B_Photobacterium	B_Yersinia	0.33525670859406	P
B_Faecalitalea	B_Yersinia	0.379142906792223	P
F_Saturnispora	B_Yersinia	0.337030199822463	P
B_Methylobacterium	B_Sphingomonas	0.373842448274299	P
B_Sphingosinicella	B_Sphingomonas	0.33968738895298	P
B_Altererythrobacter	B_Sphingomonas	0.322802149046215	P
B_Streptomyces	B_Vibrio	0.375392250341997	P
F_Kodamaea	B_Vibrio	0.349167137162616	P
F_Podospora	B_Vibrio	0.341121809524251	P
F_Nolanea	B_Vibrio	0.418960698296416	P
F_Pacispora	B_Vibrio	0.391268972285944	P
F_Rhizophagus	B_Vibrio	0.350826510526436	P
B_Brevibacterium	B_Lactobacillus	0.348554540711757	P
B_Leptotrichia	B_Actinomyces	0.487403412260156	P
B_Neisseria	B_Actinomyces	0.387846123179281	P
B_Fusobacterium	B_Actinomyces	0.358139231867615	P
B_Capnocytophaga	B_Actinomyces	0.421484144654701	P
B_Lachnoanaerobaculum	B_Actinomyces	0.389419970500311	P
B_Ottowia	B_Actinomyces	0.333345361754848	P
B_Nocardia	B_Actinomyces	0.33807640646896	P
B_Nitrospira	B_Actinomyces	0.328298909997104	P
F_Hyalorbilia	B_Actinomyces	0.369461643933382	N
B_Mycobacterium	B_Streptomyces	0.394792539253039	P
B_Kitasatospora	B_Streptomyces	0.331364738452744	P
B_Oerskovia	B_Streptomyces	0.331848236579227	P
F_Antennariella	B_Streptomyces	0.35090527740339	P
F_Microsphaeropsis	B_Streptomyces	0.353936332153783	P
F_Buellia	B_Streptomyces	0.338543882938711	P
F_Dactylaria	B_Streptomyces	0.354371658513566	P
F_Meliola	B_Streptomyces	0.329497357696762	P
F_Podospora	B_Streptomyces	0.330171496595464	P
F_Microsporidium	B_Streptomyces	0.373943288668707	P
F_Pacispora	B_Streptomyces	0.384698547862783	P
B_Lawsonella	B_Paracoccus	0.35653782424373	P
B_Roseomonas	B_Paracoccus	0.360241096390017	P
B_Janibacter	B_Paracoccus	0.369184160902385	P
B_Rothia	B_Paracoccus	0.370388407823724	P
B_Brachybacterium	B_Paracoccus	0.340163345668628	P
B_Kytococcus	B_Paracoccus	0.461404635434725	P
B_Propionibacterium	B_Paracoccus	0.326195753092707	P
B_Prevotella	B_Paracoccus	0.367231128025587	P
B_Capnocytophaga	B_Paracoccus	0.364408338525577	P
B_Gordonia	B_Paracoccus	0.384855556797273	P
