Node	feature
F_Exophiala	genus
B_Rickettsia	genus
F_Chlorociboria	genus
F_Gonapodya	genus
F_Ganoderma	genus
B_Alcanivorax	genus
B_Curvibacter	genus
F_Llimoniella	genus
B_Pseudoalteromonas	genus
B_Marmoricola	genus
F_Suberoteratosphaeria	genus
F_Capronia	genus
B_Leucobacter	genus
B_Kineococcus	genus
F_Schizothyrium	genus
F_Phlebia	genus
F_Trametes	genus
F_Superstratomyces	genus
F_Encephalitozoon	genus
B_Exiguobacterium	genus
B_Aquabacterium	genus
B_Acidobacterium	genus
F_Ramicandelaber	genus
B_Trueperella	genus
F_Xeromyces	genus
F_Bacidia	genus
F_Microcalicium	genus
F_Flammulina	genus
F_Lachnella	genus
F_Phellinus	genus
B_Cardiobacterium	genus
B_Aerococcus	genus
B_Methylophaga	genus
B_Marinomonas	genus
B_Auraticoccus	genus
F_Lobosporangium	genus
B_Actinoplanes	genus
B_Ruminococcus	genus
B_Labrys	genus
B_Pseudaminobacter	genus
B_Curtobacterium	genus
B_Ectothiorhodospira	genus
B_Cyanothece	genus
B_Actinomadura	genus
B_Saccharothrix	genus
F_Zygosaccharomyces	genus
F_Rigidoporus	genus
F_Rozella	genus
F_Capniomyces	genus
F_Psoroglaena	genus
B_Brevundimonas	genus
B_Mycobacterium	genus
B_Calothrix	genus
B_Salinicoccus	genus
B_Agrobacterium	genus
B_Chromobacterium	genus
B_Pajaroellobacter	genus
F_Hypocrella	genus
F_Phycomyces	genus
B_Macrococcus	genus
F_Cladophialophora	genus
B_Microcystis	genus
F_Leptosphaeria	genus
F_Trichoderma	genus
B_Cellulomonas	genus
B_Anabaena	genus
B_Aeromonas	genus
B_Actinoalloteichus	genus
F_Fusarium	genus
B_Marinobacter	genus
B_Candidatus Portiera	genus
B_Ensifer	genus
F_Gymnosporangium	genus
B_Brochothrix	genus
B_Candidatus Nanopelagicus	genus
F_Ustilaginoidea	genus
A_Thermococcus	genus
F_Lyophyllum	genus
F_Armillaria	genus
F_Fibulobasidium	genus
B_Labilithrix	genus
F_Lasallia	genus
B_Granulicatella	genus
B_Scytonema	genus
B_Rufibacter	genus
B_Phormidium	genus
B_Vagococcus	genus
F_Gyrographa	genus
B_Ezakiella	genus
B_Sphaerotilus	genus
B_Vogesella	genus
F_Kirschsteiniothelia	genus
B_Azoarcus	genus
B_Nitrosomonas	genus
B_Saccharomonospora	genus
F_Trichophyton	genus
F_Calicium	genus
F_Millerozyma	genus
F_Dentipellis	genus
B_Desulfitobacterium	genus
F_Esteya	genus
F_Nosema	genus
B_Wolbachia	genus
B_Ahrensia	genus
F_Phomopsis	genus
F_Neogloea	genus
B_Desulfosporosinus	genus
B_Agromyces	genus
B_Starkeya	genus
F_Pseudomicrostroma	genus
B_Dyadobacter	genus
F_Apiotrichum	genus
B_Herbaspirillum	genus
B_Paenarthrobacter	genus
B_Porphyromonas	genus
B_Kordia	genus
F_Phellopilus	genus
B_Arsenophonus	genus
B_Lysinibacillus	genus
F_Passalora	genus
F_Absconditella	genus
B_Salinibacterium	genus
B_Brevibacillus	genus
F_Phialocephala	genus
F_Kallichroma	genus
F_Syncephalastrum	genus
B_Methylocella	genus
F_Placopyrenium	genus
F_Cryptococcus	genus
B_Aeromicrobium	genus
B_Rhodopseudomonas	genus
F_Coronophora	genus
F_Cortinarius	genus
B_Paraburkholderia	genus
B_Asticcacaulis	genus
B_Roseovarius	genus
F_Hypochniciellum	genus
B_Dolosigranulum	genus
B_Anaerostipes	genus
B_Leuconostoc	genus
B_Phycicoccus	genus
B_Oscillatoria	genus
F_Phaeopyxis	genus
B_Hymenobacter	genus
B_Sinorhizobium	genus
B_Sorangium	genus
B_Mobiluncus	genus
F_Lopezaria	genus
B_Pedobacter	genus
B_Dyella	genus
F_Bullera	genus
B_Saprospira	genus
B_Arcobacter	genus
F_Pleurotus	genus
B_Thiomonas	genus
B_Nonlabens	genus
F_Kondoa	genus
B_Geodermatophilus	genus
F_Discostroma	genus
B_Shinella	genus
F_Robbauera	genus
B_Glutamicibacter	genus
B_Ornithinimicrobium	genus
F_Marssonina	genus
F_Ophiocordyceps	genus
F_Cerrena	genus
B_Synechocystis	genus
F_Cadophora	genus
B_Mycolicibacterium	genus
B_Plantibacter	genus
B_Rhodoluna	genus
B_Gloeocapsopsis	genus
B_Arachidicoccus	genus
F_Neoroussoella	genus
F_Geomyces	genus
F_Peltula	genus
F_Myriostoma	genus
F_Phellinidium	genus
F_Porpomyces	genus
F_Metschnikowia	genus
F_Daedalea	genus
A_Methanolobus	genus
F_Polyporoletus	genus
B_Aquisphaera	genus
B_Lactococcus	genus
B_Leadbetterella	genus
F_Echinusitheca	genus
F_Tieghemiomyces	genus
F_Coemansia	genus
F_Bjerkandera	genus
B_Pseudorhodoplanes	genus
F_Bipolaris	genus
F_Leptogium	genus
F_Diplodia	genus
F_Ionomidotis	genus
B_Opitutus	genus
B_Haliangium	genus
B_Psychrobacter	genus
F_Heteroplacidium	genus
F_Coprinopsis	genus
F_Tubulicrinis	genus
F_Rhizopus	genus
B_Mucilaginibacter	genus
F_Epicoccum	genus
F_Clonostachys	genus
B_Saccharospirillum	genus
F_Venturia	genus
F_Microporus	genus
B_Frondihabitans	genus
B_Filimonas	genus
B_Aquimarina	genus
F_Gloiothele	genus
F_Monascus	genus
F_Collema	genus
F_Tritirachium	genus
B_Emticicia	genus
B_Fimbriimonas	genus
F_Placocarpus	genus
F_Dactylaria	genus
B_Marivirga	genus
B_Anaerobutyricum	genus
B_Rhodanobacter	genus
F_Hirsutella	genus
F_Neurospora	genus
F_Mitosporidium	genus
B_Legionella	genus
F_Lichenothelia	genus
F_Tortispora	genus
F_Ambrosiella	genus
F_Cyathus	genus
F_Kregervanrija	genus
B_Treponema	genus
B_Pleomorphomonas	genus
B_Niabella	genus
B_Acidothermus	genus
F_Torulaspora	genus
B_Paenibacillus	genus
B_Castellaniella	genus
F_Phaeosphaeria	genus
F_Starmerella	genus
F_Rhynchostoma	genus
F_Agaricus	genus
B_Truepera	genus
B_Neorhizobium	genus
B_Kosakonia	genus
F_Dipsacomyces	genus
B_Planococcus	genus
B_Ehrlichia	genus
F_Parmelia	genus
F_Smittium	genus
B_Weissella	genus
B_Aggregatibacter	genus
B_Serpentinomonas	genus
F_Baudoinia	genus
F_Verrucaria	genus
F_Lachnellula	genus
F_Arthonia	genus
F_Laccaria	genus
F_Amorphotheca	genus
B_Blastochloris	genus
B_Auricoccus	genus
B_Rhizobacter	genus
B_Coprothermobacter	genus
B_Chelatococcus	genus
B_Dokdonia	genus
B_Rubrivivax	genus
F_Hesperomyces	genus
F_Articulospora	genus
B_Bordetella	genus
F_Botryobasidium	genus
B_Cellulophaga	genus
B_Roseimaritima	genus
F_Verrucula	genus
F_Eleutherascus	genus
F_Protomyces	genus
B_Azotobacter	genus
B_Bifidobacterium	genus
F_Phruensis	genus
F_Pleuroascus	genus
F_Corollospora	genus
B_Candidatus Bipolaricaulis	genus
F_Saccharomycopsis	genus
B_Buchnera	genus
F_Rhizoctonia	genus
B_Citrobacter	genus
F_Blackwellomyces	genus
F_Exobasidium	genus
F_Appendiculella	genus
F_Septobasidium	genus
F_Eremothecium	genus
F_Lopharia	genus
F_Abrothallus	genus
F_Loxosporopsis	genus
F_Pyricularia	genus
F_Leucopaxillus	genus
