genus	177	238	268	4019	5237	7327	7381	81162	526018	07KS4	18-599	4F1	7884-4HT	835A	835B	B113	B114	BS16	BY4839	BY4944	BY4960	BY804	BY807	BY809	BY813	BY815	BY855	BZN	CHANG3	CI7	CIMBL1	D863F	DAN3130	DAN340	DAN4245	DAN599	DH3732	DONG237	GEMS33	GEMS35	GEMS36	GEMS37	GEMS39	GEMS40	GEMS41	GEMS42	GEMS44	GEMS48	GEMS56	GEMS58	GEMS59	GEMS60	GY1007	GY1032	GY386	GY462	GY798	GY923	HTH-17	HYS	HZS	IRF314	JH59	JH96C	JI63	JI842	JI846	JI853	JY01	K10	K12	K14	K22	LG001	LIAO138	LIAO5262	LIAO5263	LK11	LX9801	LXN	LY042	M153	M97	MO113	MO17	P178	Q1261	R15	R15X1141	RY713	RY729	S22	SHEN5003	SI273	SI434	SI446	SY1032	SY1035	SY1039	SY1052	SY1128	SY3073	W138	WH413	XI502	XZ698	YE478	YE52106	YU374	Z2018F	ZAC546	ZB648	ZHENG28	ZHENG30	ZHENG653	ZHI41	ZONG31	ZZ01	ZZ03
B_Brevibacterium	6	2	13	9	2	2	8	9	3	4	4	0	6	5	21	3	1	8	0	6	1	8	2	6	5	6	17	2	2	6	2	5	1	9	1	2	109	1	12	4	4	1	2	6	7	5	3	4	2	1	1	2	1	3	3	5	2	3	15	2	5	9	1	1	12	2	2	1	0	4	4	3	2	3	10	6	2	2	9	9	8	2	9	6	8	5	1	6	1	2	11	8	6	1	2	3	2	5	6	3	6	3	8	3	2	1	12	7	7	2	8	3	4	4	7	0	7	4	60
B_Hydrogenophaga	5	9	4	6	1	11	14	3	4	0	10	2	3	1	9	2	0	5	0	4	9	4	2	3	6	8	13	3	3	5	6	9	1	0	1	6	1	3	5	10	5	1	7	9	2	3	1	1	2	0	0	0	3	7	4	3	8	3	5	4	3	1	1	7	1	4	1	2	3	2	2	4	2	7	0	0	0	4	12	1	4	0	1	8	5	9	4	1	4	3	1	9	0	1	8	1	2	0	0	3	8	9	15	6	2	1	4	4	3	0	3	8	2	2	9	1	2	4	22
B_Sphingobium	0	10	1	24	2	1	2	7	0	0	0	2	0	1	12	5	2	2	0	3	1	4	4	6	9	6	2	0	12	5	4	3	1	3	1	1	4	3	1	1	9	2	7	21	5	0	1	1	11	0	6	3	0	3	3	0	1	2	4	2	0	20	3	3	9	0	1	1	0	7	1	5	1	3	1	4	6	1	2	25	4	6	0	2	1	5	3	2	0	0	3	16	1	1	1	3	2	0	16	0	1	1	1	9	1	1	4	0	2	2	2	1	3	2	3	2	6	1	50
B_Dermacoccus	0	0	0	9	1	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	10	0	0	0	0	0	0	0	0	5	0	0	3	0	3	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	8	0	19	1	0	4	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	23	0	0	9	0	4	0	0	3	4	0	0	0	0	0	0	7	0	0	0	37
B_Rhodococcus	0	0	0	0	33	0	2	1	2	2	1	1	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	142	0	0	1	1	3	0	0	6	0	33	0	0	3	0	9	1	5	1	0	1	1	0	1	0	2	0	0	5	0	1	0	0	111	0	0	4	0	2	0	0	30	0	21	0	1	4	0	0	0	0	0	0	0	1	0	0	0	1	7	0	1	2	0	0	5	0	1	1	1	0	11	0	1	0	0	2	0	0	0	1	0	0	0	0	34
B_Brevundimonas	1	3	0	4	2	2	0	1	0	0	1	0	0	1	30	1	0	5	0	13	1	1	6	1	1	1	5	3	41	0	3	2	0	1	1	1	21	53	3	1	2	1	1	13	0	5	0	0	5	0	8	0	0	1	2	2	3	1	2	3	0	0	1	0	0	0	0	1	2	6	0	6	7	2	9	3	9	0	2	3	3	2	1	8	0	0	4	3	0	6	2	3	0	0	0	2	1	7	13	0	5	1	1	8	0	2	23	2	1	4	1	1	0	0	22	0	1	0	27
B_Ralstonia	6	6	15	0	0	0	2	0	0	2	0	0	0	0	1	2	0	4	0	0	0	3	6	0	1	0	0	1	5	0	12	6	0	0	0	0	2	2	0	0	0	7	1	0	4	8	1	4	3	0	3	2	0	4	0	4	2	1	0	6	0	6	0	2	2	0	0	0	49	5	0	0	1	4	1	2	94	0	6	1	14	226	5	0	0	8	0	1	16	5	0	33	1	26	6	0	0	2	1	2	0	14	0	4	0	0	0	1	1	3	26	1	1	0	2	0	0	0	112
B_Lawsonella	0	1	0	52	4	2	3	3	1	2	7	76	1	4	2	3	3	7	0	3	0	1	6	2	2	1	3	0	1	0	10	5	0	0	3	0	8	4	6	0	4	2	2	4	8	0	4	2	7	0	4	2	2	3	0	1	0	2	1	0	0	21	0	1	1	0	0	0	2	11	1	2	1	0	1	4	0	2	0	0	2	0	0	0	3	4	0	9	0	15	0	2	0	0	0	0	2	1	3	0	0	0	9	8	0	1	4	3	0	19	0	1	0	0	52	0	6	0	48
B_Haemophilus	0	0	0	6	2	1	4	0	4	0	3	2	0	2	0	1	4	2	0	0	0	7	5	3	1	0	0	0	1	0	14	3	1	11	2	0	15	0	2	0	1	3	1	2	5	0	2	1	1	11	0	0	0	1	0	1	0	1	2	8	0	5	7	0	2	1	1	3	0	6	0	3	2	1	0	3	14	0	0	3	0	3	2	2	0	1	4	5	0	8	1	2	6	0	2	0	0	12	7	0	1	0	6	1	0	0	2	0	0	19	11	0	1	0	6	0	1	0	92
B_Escherichia	3	3	0	12	10	8	3	0	6	1	3	5	2	2	0	3	0	3	1	1	2	4	6	5	3	1	2	2	6	0	3	5	2	6	0	2	2	2	1	5	0	2	0	9	2	5	3	2	1	3	6	3	4	3	2	2	0	1	9	5	0	4	4	2	0	1	6	3	1	6	1	4	13	0	7	6	7	0	0	5	1	4	3	0	3	10	1	6	14	1	3	6	0	14	14	3	2	5	6	1	0	0	1	4	8	0	2	2	1	19	7	0	0	5	12	0	1	1	50
B_Methylobacterium	0	0	0	4	10	0	2	5	2	0	4	6	0	0	0	1	0	12	0	4	4	2	3	0	3	0	0	1	0	1	4	1	2	2	1	0	28	2	0	0	0	8	0	37	3	0	1	4	8	0	3	2	0	0	0	12	1	1	1	0	1	2	6	0	0	0	3	0	1	10	1	4	0	0	5	14	0	0	1	1	2	10	0	2	0	0	0	0	2	0	0	2	0	0	1	1	0	7	0	0	1	0	4	0	1	0	3	6	4	5	0	1	1	1	0	0	0	3	18
B_Burkholderia	1	1	3	3	18	1	5	0	2	0	0	0	0	0	0	2	2	0	1	1	0	5	1	0	0	0	0	0	1	0	2	1	2	12	0	1	0	1	0	1	1	0	1	2	0	0	1	1	4	1	2	7	0	0	1	0	1	3	3	2	0	1	0	1	0	1	9	1	0	3	1	1	0	0	8	0	1	0	1	5	2	4	0	0	3	1	0	0	1	0	0	1	10	2	4	2	0	0	1	3	5	2	2	4	1	0	1	1	0	1	0	0	0	3	3	0	0	0	16
B_Leptotrichia	0	15	0	32	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	4	4	1	1	0	1	0	0	0	0	23	0	237	0	0	1	0	0	0	4	1	7	17	2	13	0	0	17	0	0	0	0	17	3	1	5	2	2	0	0	11	8	1	0	7	0	0	2	19	1	0	0	8	0	1	0	0	0	9	2	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	8	0	0	2	0	1	0	0	0	0	0	21	0	0	0	0	0	0	3	0	15
