genus	177	238	268	4019	5237	7327	7381	81162	526018	07KS4	18-599	4F1	7884-4HT	835A	835B	B113	B114	BS16	BY4839	BY4944	BY4960	BY804	BY807	BY809	BY813	BY815	BY855	BZN	CHANG3	CI7	CIMBL1	D863F	DAN3130	DAN340	DAN4245	DAN599	DH3732	DONG237	GEMS33	GEMS35	GEMS36	GEMS37	GEMS39	GEMS40	GEMS41	GEMS42	GEMS44	GEMS48	GEMS56	GEMS58	GEMS59	GEMS60	GY1007	GY1032	GY386	GY462	GY798	GY923	HTH-17	HYS	HZS	IRF314	JH59	JH96C	JI63	JI842	JI846	JI853	JY01	K10	K12	K14	K22	LG001	LIAO138	LIAO5262	LIAO5263	LK11	LX9801	LXN	LY042	M153	M97	MO113	MO17	P178	Q1261	R15	R15X1141	RY713	RY729	S22	SHEN5003	SI273	SI434	SI446	SY1032	SY1035	SY1039	SY1052	SY1128	SY3073	W138	WH413	XI502	XZ698	YE478	YE52106	YU374	Z2018F	ZAC546	ZB648	ZHENG28	ZHENG30	ZHENG653	ZHI41	ZONG31	ZZ01	ZZ03
B_Massilia	2	0	0	7	3	2	2	1	0	1	1	1	0	1	0	2	1	6	0	3	0	1	7	1	3	0	3	0	14	0	0	2	1	2	0	1	2	4	0	0	0	0	0	8	0	0	0	3	1	0	8	0	0	4	2	2	2	1	1	1	1	18	2	0	0	0	1	1	0	2	0	0	5	0	0	1	0	0	1	1	0	0	1	1	1	4	1	1	0	7	0	1	2	4	0	0	1	0	2	4	0	2	0	0	0	1	2	1	0	10	22	0	0	0	2	0	2	0	16
B_Roseomonas	0	3	0	3	0	0	2	0	0	0	2	0	2	5	6	0	1	2	0	0	1	0	0	1	0	0	0	0	1	1	9	1	0	1	0	1	7	0	0	0	0	0	0	6	2	0	0	0	2	0	3	0	2	6	3	1	3	1	46	0	0	6	0	1	0	0	2	1	0	4	3	2	0	1	1	2	0	0	0	5	0	1	4	0	0	0	3	4	0	9	0	0	1	0	0	0	0	4	11	0	0	0	2	0	2	1	1	0	1	35	0	0	0	0	0	0	1	0	35
B_Candidatus Planktophila	6	1	6	6	0	2	3	0	1	5	0	0	0	1	6	0	0	2	3	2	2	3	19	3	2	4	8	4	14	2	2	3	0	1	0	4	0	2	5	1	2	0	3	11	1	3	0	4	2	2	2	2	1	1	1	2	2	1	42	1	1	6	9	3	1	5	0	4	1	2	1	3	1	3	0	10	9	1	11	1	1	1	2	0	3	6	1	3	0	3	4	3	1	1	9	2	0	0	1	7	5	9	2	2	1	0	4	3	1	1	1	2	2	0	1	3	0	2	1
B_Pseudoxanthomonas	0	0	0	1	1	0	0	1	0	3	10	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	0	10
B_Microbacterium	3	0	0	12	16	4	0	1	0	0	1	3	0	2	0	0	0	3	0	0	1	2	5	0	0	0	0	1	1	3	0	3	0	63	0	1	5	0	0	0	0	0	1	10	0	0	0	2	1	1	0	0	0	1	0	0	1	2	2	3	4	6	0	0	0	0	68	3	1	2	1	0	1	0	52	3	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	26	0	1	0	1	0	5	1	0	0	1	4	3	1	3	2	1	0	0	0	0	0	11	3	4	1	0
B_Bradyrhizobium	0	0	4	2	12	5	4	4	0	3	1	5	2	1	2	1	1	0	2	0	0	5	4	1	0	1	2	6	0	5	1	3	0	69	3	0	3	2	0	1	2	2	1	1	3	0	0	1	3	0	1	2	1	4	0	0	0	1	8	0	0	2	0	1	3	0	85	1	1	0	0	1	5	1	33	1	0	0	0	3	1	1	0	0	0	2	0	5	1	0	4	0	0	0	1	2	0	0	3	0	1	1	2	1	10	0	0	6	1	2	2	1	2	0	1	0	1	0	11
B_Cellvibrio	0	0	0	9	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	4	0	0	2	0	2	4	0	1	0	3	0	0	0	0	12	2	0	0	1	0	0	0	0	1	6	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	2	1
B_Afipia	0	0	0	0	1	13	0	0	0	11	0	4	3	16	7	0	0	0	0	1	1	3	1	0	0	0	0	6	0	9	0	3	0	3	13	0	2	1	5	0	1	3	0	2	5	0	0	0	0	1	0	2	0	0	0	1	0	7	0	8	0	0	10	4	2	0	2	5	0	0	0	2	31	0	0	0	0	0	0	0	0	0	0	2	0	6	1	33	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	10	3	2	0	4	2	0	6	0	3	6	3	0	2	1	0
B_Mycobacterium	3	0	7	20	4	2	5	2	0	1	4	0	0	1	2	1	2	0	0	0	1	0	1	0	1	1	0	4	22	1	5	5	3	5	0	3	4	2	1	0	0	1	2	6	2	1	3	3	6	0	3	4	1	1	1	2	0	1	5	7	0	1	1	4	8	0	1	3	1	1	1	0	1	4	9	3	2	0	7	3	2	5	3	0	5	2	0	2	23	1	1	3	0	11	6	1	0	2	9	3	0	2	2	3	1	0	2	3	0	2	23	1	1	9	1	0	8	0	27
B_Salmonella	3	3	0	4	6	3	1	0	4	3	2	2	5	3	2	0	1	3	0	1	1	1	7	9	2	0	1	3	2	1	4	5	1	4	1	0	6	0	2	0	1	2	0	4	4	0	0	2	2	3	4	0	3	6	0	3	2	3	14	0	4	0	3	0	3	1	5	1	0	3	0	1	3	1	9	7	5	1	5	2	0	7	0	0	3	2	0	2	2	1	3	2	0	1	5	3	0	4	2	2	3	1	1	6	5	0	1	0	0	14	0	4	0	1	5	1	8	4	28
B_Neisseria	1	1	0	9	2	16	2	0	4	0	1	0	0	0	2	1	0	9	0	0	2	1	3	0	7	0	0	0	1	5	5	14	0	27	0	0	2	0	0	1	3	0	1	13	4	1	0	0	9	0	1	0	0	2	0	1	0	0	2	0	0	4	2	2	0	29	1	0	8	5	1	0	1	0	2	0	0	0	3	5	3	0	1	0	2	0	0	0	0	4	0	2	5	6	0	0	0	3	4	0	0	1	2	1	1	2	1	0	2	24	2	0	3	0	0	1	11	1	59
B_Sphingobacterium	0	1	0	1	3	7	1	0	1	0	0	0	0	0	1	3	14	0	2	0	0	5	8	0	1	0	1	0	0	0	2	1	3	0	1	0	2	0	0	0	0	0	8	1	0	2	0	0	0	0	3	0	0	4	0	1	1	4	0	0	0	1	0	2	0	3	2	2	2	0	1	0	0	4	1	0	0	4	0	1	1	0	0	0	0	2	5	21	0	0	0	2	0	0	23	0	3	0	0	1	79	0	5	5	1	0	2	0	2	2	5	0	0	0	0	0	2	4	35
B_Brucella	2	1	7	4	0	0	0	1	0	1	0	3	0	0	3	0	0	0	0	2	0	1	0	1	1	0	2	2	1	0	0	1	0	1	1	1	2	1	0	2	2	1	1	3	1	1	0	1	0	2	2	0	3	1	2	3	2	1	3	3	1	0	1	1	0	1	0	3	0	0	2	4	1	2	1	2	0	0	7	2	2	1	1	2	0	0	0	0	3	2	1	3	2	1	2	0	5	4	2	1	4	3	1	0	0	1	3	3	1	3	0	2	0	1	0	1	2	2	0
B_Janibacter	0	0	0	4	0	0	0	0	2	0	2	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	1	20	1	0	0	0	3	0	3	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	1	6	0	1	0	0	8	0	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	2	19	0	0	0	0	2	9	1	0	0	3	10	0	2	0	0	0	1	0	0	0	0	6	0	1	1	9
B_Dietzia	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	1	3	0	1	2	0	0	1	0	0	0	0	0	0	4	2	0	2	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	6	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	1	1	3	0	0	0	0	0	3	0	0	0	0	13	0	0	0	15
B_Clostridium	6	4	0	7	3	0	11	0	5	0	1	0	1	1	2	1	0	3	1	3	1	2	3	4	8	2	4	1	1	1	4	6	0	5	0	0	0	0	0	0	0	1	1	4	0	2	1	1	1	0	2	4	0	0	1	2	5	9	15	0	0	0	1	2	15	2	3	10	3	1	0	2	0	0	3	43	4	3	0	0	1	7	1	0	3	1	0	1	0	2	5	1	1	1	0	0	1	33	5	9	1	0	2	5	0	3	0	0	1	10	0	0	2	2	0	0	0	5	9
B_Rothia	0	0	0	12	1	1	0	0	0	0	3	0	1	0	0	0	0	1	0	0	4	0	2	6	1	1	1	0	0	0	8	0	4	10	0	0	9	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	2	1	2	0	2	0	3	4	0	0	0	0	1	0	1	7	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	6	0	2	0	2	0	1	0	0	0	0	0	4	10	0	1	1	0	2	1	1	1	0	1	9	2	0	0	0	13	1	3	0	43
B_Brachybacterium	5	2	6	24	3	8	0	0	2	3	2	1	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	8	1	0	1	0	0	0	0	0	9	1	6	0	0	0	0	6	1	0	0	0	5	0	0	0	1	0	1	2	0	3	1	6	1	6	2	0	0	0	1	0	1	1	2	4	1	0	2	0	0	0	0	5	1	0	0	1	0	0	2	3	0	2	0	0	1	0	3	0	0	3	8	0	0	0	2	4	1	0	2	0	0	1	1	1	2	0	8	0	4	0	16
B_Kytococcus	0	0	0	13	0	2	2	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	9	0	1	0	1	0	0	0	0	0	0	15	6	0	2	8	0	0	2	0	3	1	2	0	0	7	0	0	0	0	0	2	0	3	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	3	0	0	0	13
B_Comamonas	3	5	1	15	1	0	5	0	0	1	1	1	0	0	8	0	0	4	0	0	0	0	1	4	1	1	0	2	0	3	3	16	2	9	0	0	24	1	0	0	3	0	1	7	2	1	0	0	7	0	4	0	0	1	0	2	0	2	3	0	0	4	2	0	2	1	3	0	0	3	1	0	0	3	2	2	1	0	1	0	1	0	2	0	2	8	0	26	1	5	3	3	1	4	6	0	0	0	4	0	1	1	2	2	13	0	4	1	0	0	0	0	0	2	0	0	4	2	7
B_Fusobacterium	0	2	0	31	0	0	0	0	0	0	0	0	1	3	1	4	0	8	1	0	0	0	0	0	0	0	0	0	3	2	3	0	0	100	0	0	1	0	0	0	9	3	0	43	6	12	0	1	17	0	0	0	0	0	0	0	2	0	0	0	1	9	0	0	0	0	0	0	8	3	3	1	0	2	0	2	0	0	0	9	0	0	0	0	2	0	0	0	0	4	0	2	0	0	0	0	1	1	9	0	0	2	1	1	0	0	1	0	0	4	0	0	0	0	0	0	7	0	31
B_Anaerococcus	0	2	0	9	3	4	2	1	3	0	0	0	1	3	0	3	0	1	0	1	0	7	8	4	0	0	0	0	0	0	0	5	0	1	0	2	24	0	9	1	6	3	1	13	5	6	0	3	2	0	5	0	1	1	1	2	2	2	0	0	0	4	8	0	0	0	1	0	2	3	0	0	0	0	1	0	0	0	2	2	1	0	3	0	0	11	1	6	0	0	0	1	0	0	0	0	1	3	8	0	0	0	0	7	0	1	1	0	0	5	0	0	2	1	0	0	0	0	27
