id,feature
F_Hymenochaete,fungi
F_Hygrocybe,fungi
F_Hydnum,fungi
F_Hyaloscypha,fungi
F_Hyalorbilia,fungi
F_Hyaloraphidium,fungi
F_Hodophilus,fungi
F_Histoplasma,fungi
F_Hirsutella,fungi
F_Heterogastridium,fungi
F_Heterodermia,fungi
F_Hesperomyces,fungi
F_Herpothallon,fungi
F_Herpomyces,fungi
F_Harpella,fungi
F_Hanseniaspora,fungi
F_Hamamotoa,fungi
F_Halteromyces,fungi
F_Gyrographa,fungi
F_Gymnosporangium,fungi
F_Gyalecta,fungi
F_Guyanagaster,fungi
F_Grosmannia,fungi
F_Groenewaldozyma,fungi
F_Gonapodya,fungi
F_Gomphillus,fungi
F_Gloeandromyces,fungi
F_Gigaspora,fungi
F_Geastrum,fungi
F_Furculomyces,fungi
F_Funneliglomus,fungi
F_Funneliformis,fungi
F_Fonsecaea,fungi
F_Fomitiporia,fungi
F_Flavoparmelia,fungi
F_Flammulina,fungi
F_Favolus,fungi
F_Exserohilum,fungi
F_Exophiala,fungi
F_Exobasidium,fungi
F_Evernia,fungi
F_Esteya,fungi
F_Erysiphe,fungi
F_Erynia,fungi
F_Eremothecium,fungi
F_Epicoccum,fungi
F_Entorrhiza,fungi
F_Entoloma,fungi
F_Endocarpon,fungi
F_Emmonsia,fungi
F_Elsinoe,fungi
F_Elaphomyces,fungi
F_Dothistroma,fungi
F_Discostroma,fungi
F_Diplotomma,fungi
F_Diploospora,fungi
F_Diplodia,fungi
F_Didymella,fungi
F_Dichomitus,fungi
F_Derxomyces,fungi
F_Dentiscutata,fungi
F_Dematiopleospora,fungi
F_Debaryomyces,fungi
F_Deakozyma,fungi
F_Dactylina,fungi
F_Dactylaria,fungi
F_Cystoderma,fungi
F_Cyptotrama,fungi
F_Cyphellophora,fungi
F_Cyberlindnera,fungi
F_Curvularia,fungi
F_Cryptocoryneum,fungi
F_Cryptococcus,fungi
F_Cryomyces,fungi
F_Craterellus,fungi
F_Cortinarius,fungi
F_Corollospora,fungi
F_Coprinus,fungi
F_Coprinopsis,fungi
F_Coprinellus,fungi
F_Conidiocarpus,fungi
F_Colletotrichum,fungi
F_Collemopsidium,fungi
F_Coleosporium,fungi
F_Coelomomyces,fungi
F_Cocoicola,fungi
F_Coccocarpia,fungi
F_Coccidioides,fungi
F_Clonostachys,fungi
F_Clitocybe,fungi
F_Clavulina,fungi
F_Clavispora,fungi
F_Clavaria,fungi
F_Claroideoglomus,fungi
F_Cladosporium,fungi
F_Cladophialophora,fungi
F_Cladonia,fungi
F_Chlorociboria,fungi
F_Ceriporia,fungi
F_Cercospora,fungi
F_Ceraceomyces,fungi
F_Catapyrenium,fungi
F_Carlosrosaea,fungi
F_Capronia,fungi
F_Candida,fungi
F_Candelabrochaete,fungi
F_Byssoloma,fungi
F_Byssochlamys,fungi
F_Bulleribasidium,fungi
F_Bullera,fungi
F_Bulbillomyces,fungi
F_Buellia,fungi
F_Buckleyzyma,fungi
F_Brettanomyces,fungi
F_Botrytis,fungi
F_Boothiomyces,fungi
F_Blumeria,fungi
F_Blackwellomyces,fungi
F_Bipolaris,fungi
F_Bertia,fungi
F_Bensingtonia,fungi
F_Beauveria,fungi
F_Batrachochytrium,fungi
F_Basidioascus,fungi
F_Barnettozyma,fungi
F_Bannozyma,fungi
F_Backusella,fungi
F_Bacidia,fungi
F_Austroboletus,fungi
F_Auricularia,fungi
F_Aureobasidium,fungi
F_Aspergillus,fungi
F_Asellaria,fungi
F_Ascodesmis,fungi
F_Ascitendus,fungi
F_Articulospora,fungi
F_Arthonia,fungi
F_Armillaria,fungi
F_Arenariomyces,fungi
F_Archaeospora,fungi
F_Appendiculella,fungi
F_Anthracocystis,fungi
F_Anthracobia,fungi
F_Antennariella,fungi
F_Amyloporia,fungi
F_Amorphotheca,fungi
F_Amoeboradix,fungi
F_Ambrosiella,fungi
F_Amblyospora,fungi
F_Ambispora,fungi
F_Amanita,fungi
F_Alternaria,fungi
F_Acrodontium,fungi
F_Acremonium,fungi
F_Acanthothecis,fungi
F_Absconditella,fungi
F_Abrothallus,fungi
B_Zymomonas,bacteria
B_Yersinia,bacteria
B_Xylanibacterium,bacteria
B_Wolbachia,bacteria
B_Weissella,bacteria
B_Vogesella,bacteria
B_Vibrio,bacteria
B_Veillonella,bacteria
B_Variovorax,bacteria
B_Variibacter,bacteria
B_Tyzzerella,bacteria
B_Tsukamurella,bacteria
B_Trueperella,bacteria
B_Truepera,bacteria
B_Treponema,bacteria
B_Tistrella,bacteria
B_Thioploca,bacteria
B_Thiomonas,bacteria
B_Thiococcus,bacteria
B_Thioclava,bacteria
B_Thermus,bacteria
B_Thermosporothrix,bacteria
B_Thermomonas,bacteria
B_Tetragenococcus,bacteria
B_Tessaracoccus,bacteria
B_Tannerella,bacteria
B_Tabrizicola,bacteria
B_Synechocystis,bacteria
B_Synechococcus,bacteria
B_Sutterella,bacteria
