source,target,cor,P/N
B_Dietzia,B_Micrococcus,0.346707633,P
B_Rothia,B_Micrococcus,0.369751362,P
B_Fusobacterium,B_Micrococcus,0.407327762,P
B_Anaerococcus,B_Micrococcus,0.341850447,P
B_Gordonia,B_Micrococcus,0.388473491,P
B_Auricoccus,B_Micrococcus,0.332872721,P
B_Phenylobacterium,B_Micrococcus,0.330142478,P
F_Kriegeria,B_Micrococcus,0.388147549,P
B_Staphylococcus,B_Streptococcus,0.36827126,P
B_Brevundimonas,B_Streptococcus,0.323084296,P
B_Lawsonella,B_Streptococcus,0.326593954,P
B_Haemophilus,B_Streptococcus,0.447677938,P
B_Anaerococcus,B_Streptococcus,0.414357839,P
B_Luteimonas,B_Streptococcus,0.321326409,P
F_Kriegeria,B_Streptococcus,0.363124452,P
B_Paracoccus,B_Staphylococcus,0.369873984,P
B_Haemophilus,B_Staphylococcus,0.372515442,P
B_Massilia,B_Staphylococcus,0.332802582,P
B_Roseomonas,B_Staphylococcus,0.342385452,P
B_Anaerococcus,B_Staphylococcus,0.324505192,P
B_Prevotella,B_Staphylococcus,0.320893655,P
F_Diploospora,B_Staphylococcus,0.32207747,P
F_Kriegeria,B_Staphylococcus,0.33409476,P
B_Salmonella,B_Yersinia,0.327938278,P
B_Glutamicibacter,B_Yersinia,0.366380898,P
B_Runella,B_Yersinia,0.411199352,P
B_Cohnella,B_Yersinia,0.326783419,P
B_Photobacterium,B_Yersinia,0.335256709,P
B_Faecalitalea,B_Yersinia,0.379142907,P
F_Saturnispora,B_Yersinia,0.3370302,P
B_Methylobacterium,B_Sphingomonas,0.373842448,P
B_Sphingosinicella,B_Sphingomonas,0.339687389,P
B_Altererythrobacter,B_Sphingomonas,0.322802149,P
B_Streptomyces,B_Vibrio,0.37539225,P
F_Kodamaea,B_Vibrio,0.349167137,P
F_Podospora,B_Vibrio,0.34112181,P
F_Nolanea,B_Vibrio,0.418960698,P
F_Pacispora,B_Vibrio,0.391268972,P
F_Rhizophagus,B_Vibrio,0.350826511,P
B_Brevibacterium,B_Lactobacillus,0.348554541,P
B_Leptotrichia,B_Actinomyces,0.487403412,P
B_Neisseria,B_Actinomyces,0.387846123,P
B_Fusobacterium,B_Actinomyces,0.358139232,P
B_Capnocytophaga,B_Actinomyces,0.421484145,P
B_Lachnoanaerobaculum,B_Actinomyces,0.389419971,P
B_Ottowia,B_Actinomyces,0.333345362,P
B_Nocardia,B_Actinomyces,0.338076406,P
B_Nitrospira,B_Actinomyces,0.32829891,P
F_Hyalorbilia,B_Actinomyces,0.369461644,N
B_Mycobacterium,B_Streptomyces,0.394792539,P
B_Kitasatospora,B_Streptomyces,0.331364738,P
B_Oerskovia,B_Streptomyces,0.331848237,P
F_Antennariella,B_Streptomyces,0.350905277,P
F_Microsphaeropsis,B_Streptomyces,0.353936332,P
F_Buellia,B_Streptomyces,0.338543883,P
F_Dactylaria,B_Streptomyces,0.354371659,P
F_Meliola,B_Streptomyces,0.329497358,P
F_Podospora,B_Streptomyces,0.330171497,P
F_Microsporidium,B_Streptomyces,0.373943289,P
F_Pacispora,B_Streptomyces,0.384698548,P
B_Lawsonella,B_Paracoccus,0.356537824,P
B_Roseomonas,B_Paracoccus,0.360241096,P
B_Janibacter,B_Paracoccus,0.369184161,P
B_Rothia,B_Paracoccus,0.370388408,P
B_Brachybacterium,B_Paracoccus,0.340163346,P
B_Kytococcus,B_Paracoccus,0.461404635,P
B_Propionibacterium,B_Paracoccus,0.326195753,P
B_Prevotella,B_Paracoccus,0.367231128,P
B_Capnocytophaga,B_Paracoccus,0.364408339,P
B_Gordonia,B_Paracoccus,0.384855557,P
B_Bosea,B_Paracoccus,0.378220394,P
B_Novosphingobium,B_Paracoccus,0.375807697,P
F_Paracoccidioides,B_Paracoccus,0.341355482,P
F_Hyphoderma,B_Paracoccus,0.380550087,P
F_Kriegeria,B_Paracoccus,0.398408444,P
F_Nosema,B_Paracoccus,0.320806123,P
F_Mortierella,B_Paracoccus,0.356851131,N
F_Backusella,B_Paracoccus,0.339808334,N
B_Roseomonas,B_Kocuria,0.400272763,P
B_Dietzia,B_Chroococcidiopsis,0.358877355,P
B_Auricoccus,B_Chroococcidiopsis,0.328842952,P
B_Thioclava,B_Chroococcidiopsis,0.343421779,P
B_Dolosigranulum,B_Chroococcidiopsis,0.323830699,P
B_Lactococcus,B_Chroococcidiopsis,0.339414517,P
B_Variibacter,B_Chroococcidiopsis,0.373061939,P
B_Hydrogenophaga,B_Brevibacterium,0.361251978,P
F_Placidium,B_Brevibacterium,0.371484528,P
B_Micromonospora,B_Hydrogenophaga,0.401675843,P
B_Mycolicibacter,B_Hydrogenophaga,0.324588414,N
F_Cryomyces,B_Hydrogenophaga,0.326766961,P
F_Bulbillomyces,B_Hydrogenophaga,0.333853872,N
F_Lobulomyces,B_Hydrogenophaga,0.365062284,P
F_Vittaforma,B_Hydrogenophaga,0.389699709,P
F_Pacispora,B_Hydrogenophaga,0.363437592,P
F_Lichtheimia,B_Hydrogenophaga,0.339066835,N
B_Dietzia,B_Sphingobium,0.346582689,P
B_Propionibacterium,B_Dermacoccus,0.341569963,P
B_Phenylobacterium,B_Dermacoccus,0.343595514,P
B_Wolbachia,B_Dermacoccus,0.330964368,P
F_Lichtheimia,B_Dermacoccus,0.370718949,P
B_Burkholderia,B_Rhodococcus,0.357100887,P
B_Dietzia,B_Rhodococcus,0.322185692,P
B_Bosea,B_Rhodococcus,0.332819505,P
B_Kitasatospora,B_Rhodococcus,0.353435303,P
B_Methylosinus,B_Rhodococcus,0.38143164,P
F_Microsphaeropsis,B_Rhodococcus,0.402435305,P
F_Marthamyces,B_Rhodococcus,0.428435315,P
F_Stereum,B_Rhodococcus,0.338543613,P
B_Veillonella,B_Brevundimonas,0.32267567,P
B_Mycobacterium,B_Ralstonia,0.4122357,P
B_Janibacter,B_Lawsonella,0.324870249,P
B_Anaerococcus,B_Lawsonella,0.320204166,P
B_Gordonia,B_Lawsonella,0.321624116,P
B_Sphingopyxis,B_Lawsonella,0.372957833,P
B_Weissella,B_Lawsonella,0.334207517,P
F_Blackwellomyces,B_Lawsonella,0.342261989,N
B_Dietzia,B_Haemophilus,0.392710693,P
B_Sphingosinicella,B_Haemophilus,0.328688064,P
F_Mitosporidium,B_Haemophilus,0.322807502,N
B_Salmonella,B_Escherichia,0.338159453,P
B_Novosphingobium,B_Methylobacterium,0.32362405,P
B_Thioclava,B_Methylobacterium,0.330404559,P
F_Penicillium,B_Methylobacterium,0.327059246,P
F_Kriegeria,B_Methylobacterium,0.363957296,P
B_Mycobacterium,B_Burkholderia,0.325237409,P
B_Bosea,B_Burkholderia,0.329093305,P
F_Nematocida,B_Burkholderia,0.325378048,P
B_Neisseria,B_Leptotrichia,0.446778214,P
B_Fusobacterium,B_Leptotrichia,0.511255038,P
B_Anaerococcus,B_Leptotrichia,0.402796533,P
B_Prevotella,B_Leptotrichia,0.449444525,P
B_Capnocytophaga,B_Leptotrichia,0.447481719,P
B_Veillonella,B_Leptotrichia,0.493622672,P
B_Lachnoanaerobaculum,B_Leptotrichia,0.50222373,P
B_Schaalia,B_Leptotrichia,0.470438638,P
B_Nocardia,B_Leptotrichia,0.323519967,P
B_Dolosigranulum,B_Leptotrichia,0.361045935,P
B_Porphyromonas,B_Leptotrichia,0.377974531,P
B_Selenomonas,B_Leptotrichia,0.412583337,P
B_Olsenella,B_Leptotrichia,0.372304501,P
B_Tannerella,B_Leptotrichia,0.33662095,P
F_Cladonia,B_Leptotrichia,0.361473688,P
F_Bannozyma,B_Leptotrichia,0.33407614,N
F_Hyaloraphidium,B_Leptotrichia,0.363077041,P
F_Rhizophagus,B_Leptotrichia,0.335612561,N
F_Cladosporium,B_Massilia,0.326453872,N
B_Janibacter,B_Roseomonas,0.346032461,P
B_Rothia,B_Roseomonas,0.3808621,P
B_Kytococcus,B_Roseomonas,0.33776653,P
B_Fusobacterium,B_Roseomonas,0.345629035,P
B_Propionibacterium,B_Roseomonas,0.327644105,P
B_Novosphingobium,B_Roseomonas,0.340263861,P
B_Paraburkholderia,B_Roseomonas,0.328209394,P
